,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
0,LSTM,FBIRN ICA,0.6072916666666667,0.5967741935483871,14.818167686462402,9.315629159250568e-05,446042,None
1,LSTM,FBIRN ICA,0.6770833333333334,0.6451612903225806,14.836359024047852,8.782263725034653e-05,446042,None
2,LSTM,FBIRN ICA,0.6302083333333333,0.5967741935483871,13.07121753692627,8.451554083055066e-05,446042,None
3,LSTM,FBIRN ICA,0.678125,0.6935483870967742,15.125861167907717,9.168732550836378e-05,446042,None
4,LSTM,FBIRN ICA,0.6541666666666667,0.5967741935483871,15.893618822097778,8.612678896996283e-05,446042,None
5,LSTM,FBIRN ICA,0.6333333333333333,0.5806451612903226,17.118647813796997,9.223338096372545e-05,446042,None
6,LSTM,FBIRN ICA,0.5135416666666667,0.5161290322580645,2.598721742630005,8.543460599837764e-05,446042,None
7,LSTM,FBIRN ICA,0.6072916666666667,0.6612903225806451,14.8133282661438,8.989534070414882e-05,446042,None
8,LSTM,FBIRN ICA,0.6114583333333333,0.5806451612903226,11.99663758277893,9.136046132733743e-05,446042,None
9,LSTM,FBIRN ICA,0.6260416666666667,0.5645161290322581,17.825738668441772,9.139122501496346e-05,446042,None
10,LSTM,FBIRN ICA,0.6260416666666666,0.5967741935483871,9.807103633880615,8.895704823155557e-05,446042,None
11,LSTM,FBIRN ICA,0.596875,0.5806451612903226,15.597148656845093,8.432326778288811e-05,446042,None
12,LSTM,FBIRN ICA,0.4895833333333334,0.5161290322580645,2.70063853263855,0.00010045113102082284,446042,None
13,LSTM,FBIRN ICA,0.665625,0.6290322580645161,17.121285676956177,9.191805316555884e-05,446042,None
14,LSTM,FBIRN ICA,0.4375,0.46774193548387094,3.6423957347869873,8.982996786794354e-05,446042,None
15,LSTM,FBIRN ICA,0.39166666666666666,0.3064516129032258,2.635878086090088,9.01645229708764e-05,446042,None
16,LSTM,FBIRN ICA,0.70625,0.5806451612903226,23.17149806022644,9.430608441752772e-05,446042,None
17,LSTM,FBIRN ICA,0.4552083333333333,0.5,2.5440244674682617,9.109512452156313e-05,446042,None
18,LSTM,FBIRN ICA,0.6135416666666667,0.5483870967741935,15.639799118041992,8.78803191646453e-05,446042,None
19,LSTM,FBIRN ICA,0.6520833333333333,0.6451612903225806,10.698987483978271,9.31063006001134e-05,446042,None
20,LSTM,FBIRN ICA,0.7093750000000001,0.6129032258064516,19.509881496429443,8.502698713733304e-05,446042,None
21,LSTM,FBIRN ICA,0.5937500000000001,0.6451612903225806,15.076236486434937,9.467140320808656e-05,446042,None
22,LSTM,FBIRN ICA,0.590625,0.5967741935483871,16.186386108398438,8.742270931120842e-05,446042,None
23,LSTM,FBIRN ICA,0.6302083333333334,0.5967741935483871,17.564316272735596,9.11912610453944e-05,446042,None
24,LSTM,FBIRN ICA,0.521875,0.5161290322580645,9.852495431900024,9.235643571422946e-05,446042,None
25,LSTM,FBIRN ICA,0.4708333333333334,0.4516129032258064,3.054060697555542,0.00011088771204794607,446042,None
26,LSTM,FBIRN ICA,0.6791666666666667,0.6451612903225806,17.52013373374939,8.927237602972215e-05,446042,None
27,LSTM,FBIRN ICA,0.6114583333333333,0.5161290322580645,7.594968557357788,0.00012533895431026337,446042,None
28,LSTM,FBIRN ICA,0.6020833333333333,0.5967741935483871,13.469478130340576,8.879169341056578e-05,446042,None
29,LSTM,FBIRN ICA,0.4864583333333333,0.4032258064516129,2.601694345474243,9.026450495566092e-05,446042,None
30,LSTM,FBIRN ICA,0.46458333333333335,0.4838709677419355,3.7749433517456055,9.009915013467113e-05,446042,None
31,LSTM,FBIRN ICA,0.6906249999999999,0.6774193548387096,15.685317754745483,9.57750505016696e-05,446042,None
32,LSTM,FBIRN ICA,0.51875,0.5161290322580645,2.591489553451538,8.78803191646453e-05,446042,None
33,LSTM,FBIRN ICA,0.5760416666666667,0.5483870967741935,9.203732013702393,9.992430287022743e-05,446042,None
34,LSTM,FBIRN ICA,0.68125,0.6290322580645161,22.63390302658081,9.153350707023376e-05,446042,None
